need_name,need_id,start_date,start_time,duration,slots
Officials,773454,9/14/24,12:00,90,20
Officials,892230,9/14/24,12:00,90,20
Junior Officials,868881,9/14/24,13:30,60,20
Junior Officials,968727,9/14/24,13:30,60,20
Officials,773454,9/21/24,12:00,90,20
Officials,892230,9/21/24,12:00,90,20
Junior Officials,868881,9/21/24,13:30,60,20
Junior Officials,968727,9/21/24,13:30,60,20
Officials,773454,9/28/24,12:00,90,20
Officials,892230,9/28/24,12:00,90,20
Junior Officials,868881,9/28/24,13:30,60,20
Junior Officials,968727,9/28/24,13:30,60,20
Officials,773454,10/5/24,12:00,90,20
Officials,892230,10/5/24,12:00,90,20
Junior Officials,868881,10/5/24,13:30,60,20
Junior Officials,968727,10/5/24,13:30,60,20
Wreckers A/HT level scrimmage,628861,9/11/24,18:00,60,20
Wreckers A/HT level scrimmage,607934,9/11/24,18:00,60,20
Adult TT Scrimmage,628861,9/11/24,19:00,120,20
Adult TT Scrimmage,607934,9/11/24,19:00,120,20
Wreckers B/C Scrimmage,628861,9/14/24,10:00,60,20
Wreckers B/C Scrimmage,607934,9/14/24,10:00,60,20
Wreckers A/B Scrimmage,628861,9/14/24,11:00,60,20
Wreckers A/B Scrimmage,607934,9/14/24,11:00,60,20
Buds HT Scrimmage: RBB v DSDD,628862,9/14/24,14:30,60,20
Buds HT Scrimmage: RBB v DSDD,607810,9/14/24,14:30,60,20
Buds HT Scrimmage: BH v UA,628862,9/14/24,15:30,60,20
Buds HT Scrimmage: BH v UA,607810,9/14/24,15:30,60,20
Petals HT Scrimmage,628862,9/15/24,12:00,60,20
Petals HT Scrimmage,607810,9/15/24,12:00,60,20
Wreckers A/HT level scrimmage,628861,9/18/24,18:00,60,20
Wreckers A/HT level scrimmage,607934,9/18/24,18:00,60,20
Adult TT Scrimmage,628861,9/18/24,19:00,120,20
Adult TT Scrimmage,607934,9/18/24,19:00,120,20
Wreckers B/C Scrimmage,628861,9/21/24,10:00,60,20
Wreckers B/C Scrimmage,607934,9/21/24,10:00,60,20
Wreckers A/B Scrimmage,628861,9/21/24,11:00,60,20
Wreckers A/B Scrimmage,607934,9/21/24,11:00,60,20
Buds HT Scrimmage: UA v DSDD,628862,9/21/24,14:30,60,20
Buds HT Scrimmage: UA v DSDD,607810,9/21/24,14:30,60,20
Buds HT Scrimmage: BH v RBB,628862,9/21/24,15:30,60,20
Buds HT Scrimmage: BH v RBB,607810,9/21/24,15:30,60,20
Petals HT Scrimmage,628862,9/22/24,12:00,60,20
Petals HT Scrimmage,607810,9/22/24,12:00,60,20
Wreckers A/HT level scrimmage,628861,9/25/24,18:00,60,20
Wreckers A/HT level scrimmage,607934,9/25/24,18:00,60,20
Adult TT Scrimmage,628861,9/25/24,19:00,120,20
Adult TT Scrimmage,607934,9/25/24,19:00,120,20
Wreckers B/C Scrimmage,628861,9/28/24,10:00,60,20
Wreckers B/C Scrimmage,607934,9/28/24,10:00,60,20
Wreckers A/B Scrimmage,628861,9/28/24,11:00,60,20
Wreckers A/B Scrimmage,607934,9/28/24,11:00,60,20
Buds HT Scrimmage: RBB v UA,628862,9/28/24,14:30,60,20
Buds HT Scrimmage: RBB v UA,607810,9/28/24,14:30,60,20
WOJ w Calgary Scrimmage,628861,9/29/24,8:30,120,20
WOJ w Calgary Scrimmage,607934,9/29/24,8:30,120,20
Wreckers A/HT level scrimmage,628861,10/2/24,18:00,60,20
Wreckers A/HT level scrimmage,607934,10/2/24,18:00,60,20
Adult TT Scrimmage,628861,10/2/24,19:00,120,20
Adult TT Scrimmage,607934,10/2/24,19:00,120,20
Wreckers B/C Scrimmage,628861,10/5/24,10:00,60,20
Wreckers B/C Scrimmage,607934,10/5/24,10:00,60,20
Wreckers A/B Scrimmage,628861,10/5/24,11:00,60,20
Wreckers A/B Scrimmage,607934,10/5/24,11:00,60,20
Buds HT Scrimmage: DSDD v UA,628862,10/5/24,14:30,60,20
Buds HT Scrimmage: DSDD v UA,607810,10/5/24,14:30,60,20
Buds HT Scrimmage: RBB v BH,628862,10/5/24,15:30,60,20
Buds HT Scrimmage: RBB v BH,607810,10/5/24,15:30,60,20
Petals HT Scrimmage ALL TEAMS,628862,10/6/24,12:00,120,20
Petals HT Scrimmage ALL TEAMS,607810,10/6/24,12:00,120,20
